entry_text,sentiment_label
I feel happy and calm,Positive
I am exhausted and worried,Negative
Today was normal,Neutral
I feel hopeless and tired,Negative
I am energetic and productive,Positive
Had a relaxing weekend with family,Positive
Work stress is getting to me,Negative
Nothing special happened today,Neutral
Feeling motivated to start new habits,Positive
Anxiety has been high lately,Negative
Regular day, nothing to report,Neutral
Grateful for small wins today,Positive
Feel drained and unmotivated,Negative
